"Date","Price","Open","High","Low","Vol.","Change %"
"12 2019","3230.78","3,143.85","3,247.93","3,070.33","-","2.86%"
"11 2019","3140.98","3,050.72","3,154.26","3,050.72","-","3.40%"
"10 2019","3037.56","2,983.69","3,050.10","2,855.94","-","2.04%"
"9 2019","2976.74","2,909.01","3,021.99","2,891.85","-","1.72%"
"8 2019","2926.46","2,980.32","3,013.59","2,822.12","-","-1.81%"
"7 2019","2980.38","2,971.41","3,027.98","2,952.22","-","1.31%"
"6 2019","2941.76","2,751.53","2,964.15","2,728.81","-","6.89%"
"5 2019","2752.06","2,952.33","2,954.13","2,750.52","-","-6.58%"
"4 2019","2945.83","2,848.63","2,949.52","2,848.63","-","3.93%"
"3 2019","2834.40","2,798.22","2,860.31","2,722.27","-","1.79%"
"2 2019","2784.49","2,702.32","2,813.49","2,681.83","-","2.97%"
"1 2019","2704.10","2,476.96","2,708.95","2,443.96","-","7.87%"
"12 2018","2506.85","2,790.50","2,800.18","2,346.58","-","-9.18%"
"11 2018","2760.17","2,717.58","2,815.15","2,631.09","-","1.79%"
"10 2018","2711.74","2,926.29","2,939.86","2,603.54","-","-6.94%"
"9 2018","2913.98","2,896.96","2,940.91","2,864.12","-","0.43%"
"8 2018","2901.52","2,821.17","2,916.50","2,796.34","-","3.03%"
"7 2018","2816.29","2,704.95","2,848.03","2,698.95","-","3.60%"
"6 2018","2718.37","2,718.70","2,791.47","2,691.99","-","0.48%"
"5 2018","2705.27","2,643.64","2,742.24","2,594.62","-","2.16%"
"4 2018","2648.05","2,633.45","2,717.49","2,553.80","-","0.27%"
"3 2018","2640.87","2,715.22","2,801.90","2,585.89","-","-2.69%"
"2 2018","2713.83","2,816.45","2,835.96","2,532.69","-","-3.89%"
"1 2018","2823.81","2,683.73","2,872.87","2,682.36","-","5.62%"
"12 2017","2673.61","2,645.10","2,694.97","2,605.52","-","0.98%"
"11 2017","2647.58","2,583.21","2,657.74","2,557.45","-","2.81%"
"10 2017","2575.26","2,521.20","2,582.98","2,520.40","-","2.22%"
"9 2017","2519.36","2,474.42","2,519.44","2,446.55","-","1.93%"
"8 2017","2471.65","2,477.10","2,490.87","2,417.35","-","0.05%"
"7 2017","2470.30","2,431.39","2,484.04","2,407.70","-","1.93%"
"6 2017","2423.41","2,415.65","2,453.82","2,405.70","-","0.48%"
"5 2017","2411.80","2,388.50","2,418.71","2,352.72","-","1.16%"
"4 2017","2384.20","2,362.34","2,398.16","2,328.95","-","0.91%"
"3 2017","2362.72","2,380.13","2,400.98","2,322.25","-","-0.04%"
"2 2017","2363.64","2,285.59","2,371.54","2,271.65","-","3.72%"
"1 2017","2278.87","2,251.57","2,300.99","2,245.13","-","1.79%"
"12 2016","2238.83","2,200.17","2,277.53","2,187.44","-","1.82%"
