"Date","Price","Open","High","Low","Vol.","Change %"
"12-01-2019","18.404","18.404","18.404","18.404","0.02K","4.41%"
"11-01-2019","17.626","17.626","17.626","17.626","0.00K","-5.74%"
"10-01-2019","18.699","18.699","18.699","18.699","41.47K","6.35%"
"9-01-2019","17.583","18.130","18.130","17.600","0.03K","-6.85%"
"8-01-2019","18.877","16.890","16.910","16.890","0.00K","10.70%"
"7-01-2019","17.053","17.053","17.053","17.053","88.92K","6.97%"
"6-01-2019","15.942","15.942","15.942","15.942","0.00K","4.48%"
"5-01-2019","15.259","15.185","15.200","14.470","38.34K","-3.15%"
"4-01-2019","15.756","15.295","15.485","14.880","31.72K","3.01%"
"3-01-2019","15.295","15.750","15.835","15.135","13.46K","-1.56%"
"2-01-2019","15.538","16.010","16.070","15.520","18.49K","-3.02%"
"1-01-2019","16.022","15.520","16.140","15.140","0.58K","3.82%"
"12-01-2018","15.433","14.210","15.445","14.185","1.75K","9.50%"
"11-01-2018","14.094","14.580","14.645","13.945","24.66K","-0.95%"
"10-01-2018","14.229","14.350","14.740","14.215","0.88K","-2.69%"
"9-01-2018","14.623","14.450","14.555","13.910","3.86K","1.28%"
"8-01-2018","14.438","15.420","15.455","14.395","17.36K","-6.85%"
"7-01-2018","15.500","16.055","16.170","15.135","3.69K","-3.75%"
"6-01-2018","16.104","16.355","17.285","15.880","32.06K","-1.82%"
"5-01-2018","16.402","16.280","16.725","16.000","6.03K","0.55%"
"4-01-2018","16.312","16.470","17.200","16.140","22.11K","0.55%"
"3-01-2018","16.223","16.350","16.810","16.050","2.28K","-0.62%"
"2-01-2018","16.324","16.705","16.705","16.260","25.43K","-5.12%"
"1-01-2018","17.204","17.155","17.525","16.905","0.54K","0.84%"
"12-01-2017","17.060","16.385","17.045","15.555","3.51K","4.14%"
"11-01-2017","16.382","16.990","17.305","16.285","24.25K","-1.58%"
"10-01-2017","16.645","16.595","17.430","16.430","1.05K","0.23%"
"9-01-2017","16.607","17.565","18.160","16.655","5.95K","-4.99%"
"8-01-2017","17.480","16.635","17.600","16.090","23.43K","4.36%"
"7-01-2017","16.750","16.580","16.825","15.150","3.07K","1.10%"
"6-01-2017","16.568","17.300","17.695","16.330","19.66K","-4.61%"
"5-01-2017","17.368","17.185","17.400","16.030","6.07K","1.03%"
"4-01-2017","17.191","18.220","18.500","17.130","37.85K","-5.73%"
"3-01-2017","18.235","18.295","18.455","16.820","5.42K","-1.00%"
"2-01-2017","18.420","17.450","18.475","17.405","29.64K","5.19%"
"1-01-2017","17.512","16.040","17.560","16.030","0.53K","9.89%"
"12-01-2016","15.936","16.495","17.190","15.700","3.48K","-2.86%"
"11-01-2016","16.406","18.000","18.800","16.255","19.28K","-7.63%"
"10-01-2016","17.762","18.870","18.870","17.195","0.47K","-7.19%"
"9-01-2016","19.139","18.700","20.100","18.585","3.41K","2.78%"
"8-01-2016","18.622","20.510","20.750","18.505","16.16K","-8.32%"
"7-01-2016","20.312","18.790","21.095","18.775","4.92K","9.31%"
"6-01-2016","18.582","16.000","18.855","15.920","27.73K","16.34%"
"5-01-2016","15.972","17.850","18.030","15.960","4.05K","-10.21%"
"4-01-2016","17.789","15.020","17.990","15.015","29.27K","15.06%"
"3-01-2016","15.460","14.925","16.150","14.725","8.00K","3.79%"
"2-01-2016","14.896","14.245","15.785","14.235","25.17K","4.69%"
"1-01-2016","14.229","14.100","14.385","13.710","0.55K","3.30%"
"12-01-2015","13.775","14.040","14.605","13.635","1.83K","-1.96%"
"11-01-2015","14.050","15.385","15.385","13.905","18.97K","-9.74%"
"10-01-2015","15.566","14.515","16.250","14.410","0.24K","7.26%"
"9-01-2015","14.513","14.620","15.265","14.265","2.44K","-0.44%"
"8-01-2015","14.577","14.730","15.510","14.045","15.26K","-1.15%"
"7-01-2015","14.746","15.635","15.695","14.330","3.17K","-5.18%"
"6-01-2015","15.551","16.635","17.100","15.415","21.65K","-6.79%"
"5-01-2015","16.684","16.090","17.710","15.905","2.23K","3.47%"
"4-01-2015","16.124","16.620","17.080","15.815","19.44K","-2.76%"
"3-01-2015","16.581","16.585","17.325","15.270","2.41K","0.41%"
"2-01-2015","16.513","17.320","17.600","16.295","19.48K","-3.95%"
"1-01-2015","17.192","15.790","18.355","15.535","0.84K","10.45%"
"12-01-2014","15.565","15.390","17.180","14.100","4.25K","0.49%"
"11-01-2014","15.489","16.035","16.650","15.045","28.92K","-3.66%"
"10-01-2014","16.077","16.950","17.700","15.860","1.10K","-5.46%"
"9-01-2014","17.006","19.405","19.470","16.870","2.61K","-12.33%"
"8-01-2014","19.398","20.295","20.360","19.285","22.42K","-4.79%"
"7-01-2014","20.373","21.010","21.525","20.435","2.35K","-3.02%"
"6-01-2014","21.007","18.750","21.205","18.675","20.06K","12.62%"
"5-01-2014","18.653","19.170","19.915","18.605","3.51K","-2.44%"
"4-01-2014","19.119","19.940","20.215","19.025","20.60K","-3.12%"
"3-01-2014","19.734","21.350","21.710","19.630","3.11K","-6.93%"
"2-01-2014","21.204","19.130","21.895","19.090","18.04K","10.99%"
"1-01-2014","19.105","20.310","20.530","19.060","1.24K","-1.21%"
"12-01-2013","19.339","19.910","20.400","18.845","4.94K","-3.21%"
"11-01-2013","19.981","21.870","21.880","19.585","28.84K","-8.48%"
"10-01-2013","21.832","21.665","23.000","20.675","0.49K","0.81%"
"9-01-2013","21.656","23.200","24.460","21.210","4.95K","-7.70%"
"8-01-2013","23.463","19.610","24.985","19.460","22.46K","19.61%"
"7-01-2013","19.617","19.485","20.520","18.685","3.99K","0.85%"
"6-01-2013","19.451","22.335","22.870","18.185","23.82K","-12.49%"
"5-01-2013","22.228","24.250","24.375","21.010","6.15K","-7.94%"
"4-01-2013","24.144","27.960","27.975","22.600","22.60K","-14.66%"
"3-01-2013","28.292","28.485","29.290","27.955","3.22K","-0.36%"
"2-01-2013","28.395","31.600","32.020","28.315","27.13K","-9.38%"
"1-01-2013","31.335","30.630","32.315","29.210","0.72K","3.85%"
"12-01-2012","30.173","33.500","33.850","29.620","5.82K","-9.13%"
"11-01-2012","33.204","32.470","34.395","30.785","17.79K","2.84%"
"10-01-2012","32.288","34.375","34.980","31.650","0.65K","-6.46%"
"9-01-2012","34.517","31.660","35.090","31.520","3.72K","10.03%"
"8-01-2012","31.370","27.050","31.700","26.965","15.75K","12.46%"
"7-01-2012","27.895","27.440","28.370","26.445","4.08K","1.14%"
"6-01-2012","27.580","27.720","29.245","26.070","26.32K","-0.58%"
"5-01-2012","27.741","31.045","31.280","26.895","2.27K","-10.39%"
"4-01-2012","30.959","33.105","33.105","30.550","24.81K","-4.65%"
"3-01-2012","32.469","34.620","35.615","31.190","4.24K","-6.11%"
"2-01-2012","34.583","33.170","37.480","32.700","31.68K","4.06%"
"1-01-2012","33.233","28.165","33.800","28.110","1.57K","19.22%"
"12-01-2011","27.875","32.715","33.555","26.385","3.14K","-14.84%"
"11-01-2011","32.731","32.870","35.040","31.020","19.32K","-4.68%"
"10-01-2011","34.337","29.965","35.455","28.410","0.69K","14.30%"
"9-01-2011","30.041","41.585","43.395","26.585","5.33K","-27.96%"
"8-01-2011","41.699","39.625","44.150","37.215","22.45K","4.01%"
"7-01-2011","40.092","34.680","41.420","33.465","8.61K","15.17%"
"6-01-2011","34.812","38.225","38.335","33.580","38.18K","-9.11%"
"5-01-2011","38.303","47.970","48.085","32.595","10.43K","-21.16%"
"4-01-2011","48.584","37.500","49.520","37.180","45.20K","28.28%"
"3-01-2011","37.872","33.885","38.130","33.600","9.94K","12.03%"
"2-01-2011","33.804","27.995","34.010","27.995","42.89K","19.98%"
"1-01-2011","28.174","30.450","31.195","26.505","1.31K","-8.85%"
"12-01-2010","30.910","28.095","30.900","28.010","6.27K","9.67%"
"11-01-2010","28.185","24.865","28.915","24.115","57.97K","14.76%"
"10-01-2010","24.560","21.960","24.700","21.960","0.39K","12.67%"
