"Date","Price"
"12/2019","1.111345"
"11/2019","1.105095"
"10/2019","1.105257"
"9/2019","1.100390"
"8/2019","1.112623"
"7/2019","1.121839"
"6/2019","1.129340"
"5/2019","1.118459"
"4/2019","1.123825"
"3/2019","1.130248"
"2/2019","1.135115"
"1/2019","1.141641"
"12/2018","1.138421"
"11/2018","1.136686"
"10/2018","1.148404"
"9/2018","1.165870"
"8/2018","1.154896"
"7/2018","1.168573"
"6/2018","1.167829"
"5/2018","1.181223"
"4/2018","1.227630"
"3/2018","1.233619"
"2/2018","1.234780"
"1/2018","1.219950"
"12/2017","1.183621"
"11/2017","1.173800"
"10/2017","1.175586"
"9/2017","1.191457"
"8/2017","1.180730"
"7/2017","1.151114"
"6/2017","1.122945"
"5/2017","1.105750"
"4/2017","1.072267"
"3/2017","1.068470"
"2/2017","1.064265"
"1/2017","1.061441"
"12/2016","1.054290"
"11/2016","1.079895"
"10/2016","1.102605"
"9/2016","1.121209"
"8/2016","1.121174"
"7/2016","1.106852"
"6/2016","1.122891"
"5/2016","1.131109"
"4/2016","1.133919"
"3/2016","1.109967"
"2/2016","1.109295"
"1/2016","1.085965"
"12/2015","1.08771"
"11/2015","1.07360"
"10/2015","1.12350"
"9/2015","1.122118"
"8/2015","1.113905"
"7/2015","1.099578"
"6/2015","1.121323"
"5/2015","1.114955"
"4/2015","1.077930"
"3/2015","1.083768"
"2/2015","1.134965"
"1/2015","1.162133"
"12/2014","1.233133"
"11/2014","1.247220"
"10/2014","1.267274"
"9/2014","1.290136"
"8/2014","1.331610"
"7/2014","1.353917"
"6/2014","1.359238"
"5/2014","1.373214"
"4/2014","1.381250"
"3/2014","1.382252"
"2/2014","1.365850"
"1/2014","1.361023"
"12/2013","1.370360"
"11/2013","1.349290"
"10/2013","1.363496"
"9/2013","1.334790"
"8/2013","1.330950"
"7/2013","1.308013"
"6/2013","1.318875"
"5/2013","1.298205"
"4/2013","1.302600"
"3/2013","1.296360"
"2/2013","1.335905"
"1/2013","1.328805"
"12/2012","1.311937"
"11/2012","1.282773"
"10/2012","1.297417"
"9/2012","1.285570"
"8/2012","1.239996"
"7/2012","1.228845"
"6/2012","1.252629"
"5/2012","1.278891"
"4/2012","1.316174"
"3/2012","1.320100"
"2/2012","1.322410"
"1/2012","1.290486"
"12/2011","1.317905"
"11/2011","1.355573"
"10/2011","1.370633"
"9/2011","1.377000"
"8/2011","1.434322"
"7/2011","1.426429"
"6/2011","1.438841"
"5/2011","1.434864"
"4/2011","1.444179"
"3/2011","1.399639"
"2/2011","1.364895"
"1/2011","1.335967"
"12/2010","1.322013"
"11/2010","1.366095"
"10/2010","1.389781"
"9/2010","1.306700"
"8/2010","1.289418"
"7/2010","1.276741"
"6/2010","1.220850"
"5/2010","1.256533"
"4/2010","1.340570"
"3/2010","1.356852"
"2/2010","1.368570"
"1/2010","1.427210"
"12/2009","1.461359"
"11/2009","1.491167"
"10/2009","1.481636"
"9/2009","1.456164"
"8/2009","1.426800"
"7/2009","1.408770"
"6/2009","1.401645"
"5/2009","1.365045"
"4/2009","1.319030"
"3/2009","1.304982"
"2/2009","1.278470"
"1/2009","1.323867"
"12/2008","1.344943"
"11/2008","1.273215"
"10/2008","1.332209"
"9/2008","1.436950"
"8/2008","1.497538"
"7/2008","1.576970"
"6/2008","1.555276"
"5/2008","1.555700"
"4/2008","1.575050"
"3/2008","1.552653"
"2/2008","1.474838"
"1/2008","1.471791"
"12/2007","1.457037"
"11/2007","1.468364"
"10/2007","1.422748"
"9/2007","1.389645"
"8/2007","1.362248"
"7/2007","1.371559"
"6/2007","1.341857"
"5/2007","1.351132"
"4/2007","1.351616"
"3/2007","1.324186"
"2/2007","1.307420"
"1/2007","1.299864"
"12/2006","1.321279"
"11/2006","1.288141"
"10/2006","1.261105"
"9/2006","1.273038"
"8/2006","1.281130"
"7/2006","1.268367"
"6/2006","1.264995"
"5/2006","1.276959"
"4/2006","1.227117"
"3/2006","1.202000"
"2/2006","1.193835"
"1/2006","1.210314"
"12/2005","1.18561"
"11/2005","1.17857"
"10/2005","1.201452"
"9/2005","1.225641"
"8/2005","1.229243"
"7/2005","1.203810"
"6/2005","1.216491"
"5/2005","1.269395"
"4/2005","1.293790"
"3/2005","1.320067"
"2/2005","1.301425"
"1/2005","1.312124"
"12/2004","1.34076"
"11/2004","1.29913"
"10/2004","1.24896"
"9/2004","1.221782"
"8/2004","1.217595"
"7/2004","1.226586"
"6/2004","1.214309"
"5/2004","1.200724"
"4/2004","1.198540"
"3/2004","1.226165"
