iter	RMSE
0	446.2103071
1	435.0380881
2	423.4475497
3	412.1579084
4	402.202621
5	391.5784965
6	381.3284377
7	371.3818532
8	361.6576606
9	352.4412245
10	343.4189725
11	334.7179518
12	325.842299
13	318.1521007
14	310.3415619
15	302.3016355
16	294.8545226
17	287.4394443
18	280.2118511
19	272.7909355
20	266.1495954
21	259.3447339
22	252.8060776
23	246.5897155
24	240.6034551
25	234.8238048
26	229.5040034
27	224.0436404
28	218.666771
29	213.1433384
30	207.8987346
31	203.0821135
32	198.1689486
33	193.5175163
34	188.7725745
35	184.3951654
36	180.0488566
37	175.3696831
38	171.6198838
39	168.2598236
40	164.2752009
41	160.3019341
42	156.6024629
43	153.0971964
44	149.6305484
45	146.2810596
46	142.9248854
47	139.7195784
48	136.4246888
49	133.4624512
50	130.6582155
51	128.1128586
52	125.3740465
53	122.3917317
54	119.9356743
55	117.2247955
56	114.6698377
57	112.3158618
58	110.0390077
59	107.9405504
60	106.0107159
61	103.6562016
62	101.4179576
63	99.53484156
64	97.71210065
65	95.78012885
66	93.78891423
67	92.14330953
68	90.4380615
69	88.75809622
70	87.18990309
71	85.80834014
72	84.37968633
73	83.02597052
74	81.42685566
75	79.97635484
76	78.70175208
77	77.38730467
78	76.10055273
79	74.97294045
80	73.59883431
81	72.29469963
82	71.08433441
83	70.01602913
84	68.71674714
85	67.76592323
86	66.57093612
87	65.53931368
88	64.49123801
89	63.48106447
90	62.64895878
91	61.79690417
92	60.99559592
93	60.22629859
94	59.2429974
95	58.45141448
96	57.73864919
97	56.93887725
98	56.15646998
99	55.32274753
100	54.62058338
101	53.95825519
102	53.31076859
103	52.66307041
104	52.1952305
105	51.47831465
106	50.82913014
107	50.29467054
108	49.77324173
109	49.29951973
110	48.7799051
111	48.32530206
112	47.87902022
113	47.36332552
114	46.95364747
115	46.47304996
116	46.14697794
117	45.71530735
118	45.14785357
119	44.70881099
120	44.27241331
121	43.88364901
122	43.56046013
123	43.12143226
124	42.72908506
125	42.43482731
126	42.03013937
127	41.73205593
128	41.29073937
129	40.81478126
130	40.56155746
131	40.31781849
132	39.9636696
133	39.64271268
134	39.25557989
135	38.94808962
136	38.69748002
137	38.41842735
138	38.07868002
139	37.84786449
140	37.58445944
141	37.33408394
142	37.04181799
143	36.75064616
144	36.51037025
145	36.30182208
146	36.10890645
