iter	Passed	Remaining
0	153	153274
1	154	76991
2	155	51562
3	156	38858
4	156	31242
5	157	26145
6	158	22521
7	159	19800
8	160	17689
9	161	15989
10	162	14612
11	163	13462
12	164	12487
13	165	11652
14	166	10917
15	167	10280
16	168	9717
17	168	9213
18	169	8762
19	170	8359
20	171	7993
21	172	7655
22	172	7346
23	173	7064
24	174	6803
25	175	6561
26	175	6339
27	176	6133
28	177	5951
29	178	5772
30	179	5606
31	180	5453
32	181	5306
33	181	5165
34	182	5032
35	183	4906
36	183	4788
37	184	4676
38	185	4570
39	186	4468
40	186	4373
41	187	4281
42	188	4193
43	189	4109
44	189	4029
45	190	3951
46	191	3881
47	192	3813
48	192	3745
49	193	3680
50	194	3618
51	195	3557
52	195	3499
53	196	3443
54	197	3389
55	198	3337
56	198	3287
57	199	3239
58	200	3192
59	200	3146
60	201	3102
61	202	3060
62	202	3018
63	203	2978
64	204	2939
65	205	2901
66	205	2865
67	206	2831
68	207	2797
69	208	2764
70	208	2732
71	209	2700
72	210	2670
73	210	2640
74	211	2610
75	212	2581
76	213	2553
77	213	2526
78	214	2499
79	215	2473
80	215	2448
81	216	2425
82	217	2401
83	218	2378
84	218	2355
85	219	2333
86	220	2311
87	221	2290
88	221	2272
89	222	2251
90	223	2231
91	224	2212
92	224	2192
93	225	2174
94	226	2156
95	227	2138
96	227	2120
97	228	2103
98	229	2086
99	230	2070
100	230	2054
101	231	2038
102	232	2022
103	232	2006
104	233	1991
105	234	1976
106	235	1961
107	235	1947
108	236	1934
109	237	1920
110	238	1907
111	238	1894
112	239	1881
113	240	1868
114	241	1855
115	241	1843
116	242	1830
117	243	1819
118	244	1808
119	245	1797
120	245	1786
121	246	1775
122	247	1764
123	248	1754
124	249	1743
125	249	1732
126	250	1722
127	251	1712
128	252	1702
129	252	1692
130	253	1683
131	254	1674
132	255	1664
133	256	1655
134	257	1646
135	257	1637
136	258	1629
137	259	1620
138	260	1612
139	261	1603
140	261	1595
141	262	1586
142	263	1578
143	264	1569
144	264	1561
145	265	1553
146	266	1545
147	267	1537
148	267	1529
149	268	1522
150	269	1514
151	270	1507
152	270	1499
153	271	1491
154	272	1484
155	273	1477
156	273	1470
157	274	1463
158	275	1457
159	276	1451
160	277	1445
161	278	1439
162	279	1432
163	279	1426
164	280	1420
165	281	1415
166	282	1409
167	283	1404
168	284	1399
169	285	1393
170	286	1388
171	288	1387
172	318	1521
173	320	1523
174	323	1524
175	326	1530
176	328	1529
177	330	1527
178	333	1529
179	336	1532
180	339	1536
181	343	1541
182	346	1545
183	348	1547
184	351	1549
185	354	1551
186	357	1553
187	359	1554
188	362	1555
189	365	1557
190	368	1559
191	370	1559
192	373	1560
193	375	1561
194	378	1561
195	380	1562
196	383	1562
197	384	1558
198	386	1557
199	388	1554
200	390	1552
201	391	1548
202	393	1545
203	395	1541
204	396	1537
205	398	1534
206	399	1531
207	401	1528
208	403	1525
209	404	1522
210	406	1518
211	407	1514
212	408	1509
213	409	1505
214	411	1501
215	412	1497
216	413	1493
217	415	1488
218	416	1484
219	417	1480
220	418	1475
221	419	1471
222	421	1467
223	422	1462
224	423	1457
225	424	1453
226	425	1449
227	426	1445
228	428	1441
229	429	1436
230	430	1432
231	431	1427
232	432	1423
233	433	1419
234	434	1415
235	436	1411
236	437	1407
237	438	1403
238	439	1398
239	440	1393
240	440	1388
241	441	1383
242	442	1379
243	443	1374
244	444	1369
245	445	1364
246	446	1359
247	446	1354
248	447	1349
249	448	1344
250	449	1339
251	449	1335
252	450	1330
253	451	1325
254	452	1320
255	452	1316
256	453	1311
257	454	1306
258	455	1302
259	455	1297
260	456	1292
261	457	1288
262	458	1283
263	458	1279
264	459	1274
265	460	1269
266	460	1265
267	461	1261
268	462	1256
269	463	1252
270	464	1248
271	464	1244
272	465	1239
273	466	1235
274	466	1231
275	467	1226
276	468	1222
277	469	1218
278	469	1214
279	470	1209
280	471	1205
281	471	1201
282	472	1197
283	473	1193
284	474	1189
285	474	1185
286	475	1180
287	476	1176
288	476	1172
289	477	1168
290	478	1164
291	478	1161
292	479	1157
293	480	1153
294	480	1149
295	481	1145
296	482	1141
297	482	1137
298	483	1133
299	484	1130
300	485	1126
301	485	1122
302	486	1118
303	487	1115
304	487	1111
305	488	1107
306	489	1104
307	489	1100
308	490	1097
309	491	1093
310	492	1090
311	492	1086
312	493	1083
313	494	1079
314	494	1076
315	495	1072
316	496	1069
317	496	1065
318	497	1062
319	498	1058
320	499	1055
321	500	1052
322	500	1049
323	501	1046
324	502	1042
325	502	1039
326	503	1036
327	504	1033
328	505	1030
329	505	1026
330	506	1023
331	507	1020
332	508	1017
333	508	1014
334	509	1011
335	510	1008
336	511	1005
337	511	1002
338	512	999
339	513	996
340	514	993
341	515	991
342	515	987
343	516	985
344	517	982
345	518	979
346	518	976
347	519	973
348	520	970
349	521	967
350	521	964
351	522	962
352	523	959
353	523	956
354	524	953
355	525	950
356	526	947
357	526	944
358	527	942
359	528	939
360	529	936
361	529	933
362	530	931
363	531	928
364	532	925
365	532	923
366	533	920
367	534	917
368	535	915
369	536	912
370	536	910
371	537	907
372	538	904
373	539	902
374	539	899
375	540	897
376	541	894
377	542	892
378	542	889
379	543	887
380	544	884
381	545	882
382	546	879
383	546	877
384	547	874
385	548	872
386	549	869
387	549	867
388	550	864
389	551	862
390	552	860
391	553	857
392	553	855
393	554	853
394	555	850
395	556	848
396	556	845
397	557	843
398	558	841
399	559	838
400	559	836
401	560	834
402	561	831
403	562	829
404	563	827
405	564	825
406	564	823
407	565	821
408	566	818
409	567	816
410	568	814
411	568	812
412	569	809
413	570	807
414	571	805
415	571	802
416	572	800
417	573	798
418	574	796
419	574	793
420	575	792
421	576	790
422	577	788
423	578	785
424	579	783
425	580	781
426	581	779
427	582	778
428	583	776
429	583	773
430	584	771
431	585	769
432	586	767
433	587	765
434	587	763
435	588	761
436	589	759
437	591	758
438	593	758
439	595	758
440	598	758
441	600	757
442	602	757
443	605	757
444	607	757
445	609	757
446	611	756
447	613	756
448	616	756
449	618	756
450	621	756
451	623	756
452	626	756
453	630	757
454	633	758
455	636	759
456	639	759
457	642	760
458	645	761
459	648	761
460	652	762
461	654	762
462	657	762
463	660	763
464	664	763
465	667	764
466	670	764
467	672	764
468	673	763
469	677	763
470	679	763
471	682	762
472	684	762
473	685	760
474	687	759
475	688	757
476	689	756
477	691	755
478	693	754
479	694	752
480	697	752
481	699	751
482	701	751
483	703	750
484	705	749
485	706	747
486	708	746
487	709	744
488	711	743
489	712	741
490	713	740
491	715	738
492	716	737
493	718	735
494	719	734
495	720	732
496	721	730
497	723	728
498	724	727
499	725	725
500	726	723
501	727	721
502	728	719
503	729	717
504	730	715
505	731	713
506	731	711
507	733	710
508	734	708
509	735	706
510	736	704
511	737	702
512	738	700
513	738	698
514	739	696
515	740	694
516	741	692
517	742	690
518	743	688
519	743	686
520	744	684
521	745	682
522	746	680
523	746	678
524	747	676
525	748	674
526	749	672
527	749	670
528	750	668
529	751	666
530	752	664
531	752	662
532	753	660
533	754	658
534	755	656
535	756	654
536	757	652
537	757	650
538	758	648
539	759	646
540	760	644
541	760	642
542	761	641
543	762	638
544	762	636
545	763	634
546	764	632
547	764	630
548	765	628
549	766	626
550	767	625
551	767	623
552	768	621
553	769	619
554	770	617
555	770	615
556	771	613
557	772	611
558	773	610
559	773	608
560	774	606
561	775	604
562	776	602
563	776	600
564	777	598
565	778	596
566	778	594
